label,text
negative,"Lebih-lebih lagi dengan  kemudahan internet dan laman sosial, taktik ini semakin mudah dikembangkan."
positive,boleh memberi teguran kepada parti tetapi perlu ikut cara yang betul
negative,Adalah membingungkan mengapa masyarakat Cina bersorak gembira apabila Mahathir menyertai gabungan pakatan pembangkang
positive,Kami menurunkan defisit daripada 6.7 peratus pada tahun 2009 kepada tiga peratus pada tahun lalu
negative,"Ini masalahnya. Bukan rakyat, tetapi sistem"
positive,Masyarakat Cina dapat melihat bagaimana perancangan kerajaan di bawah pimpinan perdana menteri merangka pembangunan dan berjaya melaksanakannya dan mereka juga dapat melihat bagaimana pembangkang tidak dapat melaksanakan janji-janji yang pernah dibuat sebelum ini.
positive,"Tetapi penyelenggaraan ini ada skop tertentu yang perlu mendapat kelulusan Kementerian Kewangan dan ia merangkumi pembaikan kecil seperti bumbung, tandas, paip dan kerja-kerja elektrikal sahaja"
positive,"Jika memilih untuk tidak dikritik, duduk saja di rumah dan jangan terlibat"
negative,Ini membawa erti haram juga untuk sokong BN kerana MCA serta Gerakan yang anti hudud juga adalah rakan sekutu BN
positive,"Jika anda tidak percaya, tanya ibu bapa di Pulau Pinang dan Selangor bagaimana kerajaan negeri beroperasi apabila ia melibatkan sekolah-sekolah."
positive,Apa yang dilakukan kerajaan pada masa ini adalah untuk terus meningkatkan kemajuan bidang pendidikan dan proses pembelajaran dan pengajaran. 
negative,Rakyat Sabah marah
negative,secara realitinya tanggapan itu ada benarnya bagi seseorang pengguna tetapi secara relatifnya keadaan tidak berlaku begitu dalam sistem ekonomi
positive,Tapi sekurang-kurangnya kita harus diberikan ruang untuk membacanya dan ini (laporan) panjang
positive,"Amini mempunyai hak berpendapat sedemikian tetapi beliau harus tampil dengan hujah konkrit, dan tunjukkan bahagian yang mana yang tak bagi peruntukan kepada Bumiputera"
negative,"ika calon-calon bermasalah dipilih, parti terpaksa berhadapan dengan pelbagai serangan"
positive,"Institusi ini diharapkan mampu untuk mengimbangkan suasana sukar, sekiranya timbul dalam sistem demokrasi."
positive,"Di Pertubuhan Amal Firdausi, kami menyediakan satu platform untuk golongan ini kembali ke pangkal jalan"
positive,"Di samping pelan transformasi, bagi memastikan mereka (pihak berkuasa tempatan) menyampaikan perkhidmatan seperti yang ditetapkan, kementerian saya juga melaksanakan Sistem Penarafan Bintang  bagi Pihak Berkuasa Tempatan"
positive,inovasi pusat khidmat rakyat yang disifatkan sebagai terbaik dunia
negative,ditolak oleh pegawai pengurus pilihan raya kawasan semasa proses penamaan calon semalam berikutan satu keputusan mahkamah membabitkan aktivis PKR berkenaan.
positive,"Jadi apabila kita dapat penjelasan, kita berpuas hati dengan penjelasan, bukan dengan penyelewengan"
positive,"Maknanya, iklim pelaburan Malaysia amat baik termasuklah dalam sektor tenaga"
positive,"Dengan jumlah kutipan ini, takkan kita nak kata keadaan ekonomi sekarang makin teruk."
negative,"Sekiranya mereka ini terlibat dalam kemalangan semasa sedang bekerja, apakah bentuk perlindungan atau pampasan yang boleh didapati setelah tidak diberikan perlindungan menerusi caruman KWSP dan Perkeso"
negative,BN perlu mempunyai strategi dan kepimpinan padu untuk menjamin kemenangan calonnya.
negative,"Namun sikap masyarakat khususnya umat Islam itu sendiri, dengan caci-makinya adakah mampu menyelesaikan masalah ini"
positive,Jadi risiko untuk berlaku kebakaran itu adalah sedikit
negative,"Tanpa sokongan kerajaan pusat, kita akan masuk ketika zaman kelam…kita jangan balik ke zaman tersebut tetapi mesti melihat ke hadapan"
negative,lebih parah kata beliau isu yang dibangkitkan itu tidak dijawab oleh mereka yang berkenaan namun sebaliknya dijawab ahli politik dan anggota kabinet yang kurang bersandarkan maklumat tepat
positive,seperti yang didedahkan oleh ahli ekonomi dan penyelidik dr muhammed abdul khalid paras gaji naik hanya pada kadar purata tahunan peratus di antara tahun dan tahun lalu gaji dan upahan meningkat peratus
positive,mengenepikan perasaan cemburu dan iri hati serta berbincang dalam merencanakan sesuatu agar berlaku adil
positive,"dulu berani mencabar sensitiviti pemimpin agama, ulama-ulama yang tidak relevan dan juga tokoh-tokoh politik Islam yang karut"
negative,"isu LGBT semakin hangat diperkatakan, menjadi kegusaran yang meniti dibibir 'makcik-pakcik bawang' dan di muka buku para 'keyboard warrior' yang ada sebahagiannya benar gusar, perihal ini semakin meruncing sedang sebilangan yang lain menjadikan ianya salah satu 'alat politik' menghangatkan rencam keterbukaan Malaysia baru."
positive,Mobile Apps ini sudah hampir siap dan kita jangka ia dilancarkan pada Mac depan bagi memudahkan rakyat mendapatkan maklumat berkenaan pasar tani di seluruh negara
negative,pada masa sama tinjauan itu mendapati terdapat peningkatan mendadak sokongan kepada media tradisional sebanyak mata kepada peratus tahap paling tinggi sejak seorang pakar psikologi media sosial dan pensyarah di universiti oxford amy orben berkata syarikat-syarikat media sosial juga kini berdepan apa yang dihadapi sesetengah seteru mereka yang lebih tradisional ketika baru bermula dahulu
